code,relative value,pc/tc split,schedule
24366,7.33,,medical
24370,16.30,,medical
24371,19.01,,medical
24400,10.37,,medical
24410,11.86,,medical
24420,10.37,,medical
24430,11.36,,medical
24435,13.34,,medical
24470,6.62,,medical
24495,4.94,,medical
24498,8.18,,medical
24500,1.94,,medical
24505,3.67,,medical
24515,12.07,,medical
24516,12.07,,medical
24530,3.23,,medical
24535,6.47,,medical
24538,8.63,,medical
24545,10.79,,medical
24546,12.94,,medical
24560,1.29,,medical
24565,2.15,,medical
24566,5.18,,medical
24575,6.47,,medical
24576,3.45,,medical
24577,5.18,,medical
24579,8.63,,medical
24582,6.47,,medical
24586,12.07,,medical
24587,11.65,,medical
24600,1.19,,medical
24605,3.23,,medical
24615,7.77,,medical
24620,3.23,,medical
24635,10.79,,medical
24640,0.79,,medical
24650,1.29,,medical
24655,2.15,,medical
24665,6.47,,medical
24666,6.62,,medical
24670,1.94,,medical
24675,6.47,,medical
24685,7.77,,medical
24800,12.07,,medical
24802,12.94,,medical
24900,10.79,,medical
24920,8.63,,medical
24925,1.98,,medical
24930,7.77,,medical
24931,12.07,,medical
24935,2.37,,medical
24940,10.97,,medical
24999,BR,,medical
25000,3.13,,medical
25001,3.00,,medical
25020,5.18,,medical
25023,6.47,,medical
25024,4.66,,medical
25025,6.05,,medical
25028,3.67,,medical
25031,3.23,,medical
25035,5.18,,medical
25040,3.56,,medical
25065,1.08,,medical
25066,3.23,,medical
25071,4.09,,medical
25073,5.69,,medical
25075,1.86,,medical
25076,3.11,,medical
25077,10.23,,medical
25078,9.94,,medical
25085,5.34,,medical
25100,5.34,,medical
25101,6.04,,medical
25105,6.91,,medical
25107,4.45,,medical
25109,4.35,,medical
25110,3.23,,medical
25111,3.45,,medical
25112,4.32,,medical
25115,6.72,,medical
25116,7.77,,medical
25118,6.72,,medical
25119,6.91,,medical
25120,5.34,,medical
25125,6.62,,medical
25126,5.73,,medical
25130,3.88,,medical
25135,6.47,,medical
25136,5.61,,medical
25145,6.14,,medical
25150,5.34,,medical
25151,5.34,,medical
25170,8.50,,medical
25210,5.18,,medical
25215,7.77,,medical
25230,4.15,,medical
25240,4.74,,medical
25246,0.30,,medical
25248,3.88,,medical
25250,3.23,,medical
25251,3.67,,medical
25259,6.55,,medical
25260,5.18,,medical
25263,6.04,,medical
25265,7.90,,medical
25270,3.56,,medical
25272,4.45,,medical
25274,5.34,,medical
25275,5.18,,medical
25280,4.45,,medical
25290,3.45,,medical
25295,4.05,,medical
25300,7.11,,medical
25301,6.22,,medical
25310,6.22,,medical
25312,7.11,,medical
25315,7.11,,medical
25316,10.23,,medical
25320,8.80,,medical
25332,7.41,,medical
25335,12.84,,medical
25337,8.69,,medical
25350,6.62,,medical
25355,7.90,,medical
25360,6.62,,medical
25365,9.19,,medical
25370,8.60,,medical
25375,10.57,,medical
25390,6.62,,medical
25391,8.20,,medical
25392,9.19,,medical
25393,10.37,,medical
25394,5.18,,medical
25400,9.92,,medical
25405,10.79,,medical
25415,10.35,,medical
25420,12.07,,medical
25425,8.20,,medical
25426,10.37,,medical
25430,7.45,,medical
25431,7.76,,medical
25440,9.49,,medical
25441,4.94,,medical
25442,4.94,,medical
25443,8.80,,medical
25444,7.33,,medical
25445,7.33,,medical
25446,11.16,,medical
25447,4.32,,medical
25449,7.41,,medical
25450,5.18,,medical
25455,6.47,,medical
25490,5.62,,medical
25491,5.62,,medical
25492,6.65,,medical
25500,1.53,,medical
25505,2.87,,medical
25515,6.62,,medical
25520,2.64,,medical
25525,6.73,,medical
25526,7.76,,medical
25530,1.64,,medical
25535,2.67,,medical
25545,5.24,,medical
25560,2.37,,medical
25565,3.95,,medical
25574,4.64,,medical
25575,10.79,,medical
25600,1.94,,medical
25605,3.23,,medical
25606,5.07,,medical
25607,5.07,,medical
25608,6.31,,medical
25609,7.45,,medical
25622,2.15,,medical
25624,3.23,,medical
25628,7.77,,medical
25630,1.56,,medical
25635,2.67,,medical
25645,3.88,,medical
25650,1.08,,medical
25651,3.62,,medical
25652,4.55,,medical
25660,4.32,,medical
25670,8.63,,medical
25671,3.31,,medical
25675,1.98,,medical
25676,5.18,,medical
25680,5.18,,medical
25685,10.35,,medical
25690,3.26,,medical
25695,5.18,,medical
25800,10.35,,medical
25805,11.21,,medical
25810,12.07,,medical
25820,8.20,,medical
25825,9.49,,medical
25830,8.18,,medical
25900,7.77,,medical
25905,6.91,,medical
25907,1.98,,medical
25909,5.93,,medical
25915,5.93,,medical
25920,5.24,,medical
25922,1.98,,medical
25924,4.32,,medical
25927,5.93,,medical
25929,1.98,,medical
25931,4.74,,medical
25999,BR,,medical
26010,0.64,,medical
26011,1.68,,medical
26020,3.26,,medical
26025,3.51,,medical
26030,4.94,,medical
26034,3.45,,medical
26035,8.20,,medical
26037,3.88,,medical
26040,3.23,,medical
26045,3.67,,medical
26055,3.23,,medical
26060,3.23,,medical
26070,3.26,,medical
26075,3.23,,medical
26080,3.23,,medical
26100,3.26,,medical
26105,2.47,,medical
26110,3.23,,medical
26111,2.74,,medical
26113,4.19,,medical
26115,2.07,,medical
26116,3.31,,medical
26117,10.74,,medical
26118,8.28,,medical
26121,6.65,,medical
26123,6.62,,medical
26125,3.23,,medical
26130,4.15,,medical
26135,4.94,,medical
26140,4.15,,medical
26145,4.94,,medical
26160,3.23,,medical
26170,3.23,,medical
26180,3.23,,medical
26185,2.76,,medical
26200,4.15,,medical
26205,5.34,,medical
26210,3.75,,medical
26215,4.94,,medical
26230,3.26,,medical
26235,3.45,,medical
26236,3.23,,medical
26250,5.18,,medical
26260,4.94,,medical
26262,4.94,,medical
26320,3.23,,medical
26340,2.50,,medical
26341,0.98,,medical
26350,5.28,,medical
26352,8.20,,medical
26356,7.25,,medical
26357,8.80,,medical
26358,9.83,,medical
26370,4.15,,medical
26372,4.54,,medical
26373,4.15,,medical
26390,6.21,,medical
26392,7.25,,medical
26410,1.78,,medical
26412,4.15,,medical
26415,4.55,,medical
26416,4.86,,medical
26418,2.07,,medical
26420,4.15,,medical
26426,5.18,,medical
26428,7.25,,medical
26432,3.23,,medical
26433,3.67,,medical
26434,2.47,,medical
26437,4.09,,medical
26440,3.54,,medical
26442,3.95,,medical
26445,3.21,,medical
26449,4.75,,medical
26450,2.47,,medical
26455,3.23,,medical
26460,3.23,,medical
26471,4.15,,medical
26474,3.26,,medical
26476,3.23,,medical
26477,3.23,,medical
